date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:49	160948/160948	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Aug%202025%2019:56:50%20GMT	https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG	C:/My%20Web%20Sites/alision/alison.com/certification/check/$2y$10$YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.html	(from )
20:56:49	378/378	---M-Z	200	added ('OK')	text/plain	etag:%22390-63b4c59a80200-gzip%22	https://alison.com/robots.txt		(from )
20:56:50	89706/89706	---M-Z	200	added ('OK')	application/javascript	etag:%2215e6a-63a6e65620480-gzip%22	https://alison.com/html/vendor/js/jquery-3.6.4.min.js	C:/My%20Web%20Sites/alision/alison.com/html/vendor/js/jquery-3.6.4.min.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:50	40072/40072	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/js/slick.js	C:/My%20Web%20Sites/alision/cdn01.alison-static.net/public/html/vendor/js/slick.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:51	16199/16199	---M-Z	200	added ('OK')	application/javascript	etag:%223f47-63a34b6550700-gzip%22	https://alison.com/html/vendor/js/handlebars.runtime-v4.4.3.js	C:/My%20Web%20Sites/alision/alison.com/html/vendor/js/handlebars.runtime-v4.4.3.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:51	40185/40185	---M-Z	200	added ('OK')	application/javascript	etag:%229cf9-63a34b6550700-gzip%22	https://alison.com/html/vendor/js/jquery.mCustomScrollbar-alt.min.js	C:/My%20Web%20Sites/alision/alison.com/html/vendor/js/jquery.mCustomScrollbar-alt.min.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:51	230600/230600	---M-Z	200	added ('OK')	text/css	etag:%22384c8-63b20f2d065c0-gzip%22	https://alison.com/html/site/css/main.css?id=ad166cee5d1990974f01d7da234eb118	C:/My%20Web%20Sites/alision/alison.com/html/site/css/main61d8.css	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:52	114421/114421	---M--	200	added ('OK')	text/javascript	etag:204%20/%2020304%20/%2031093762%20/%20config-hash:%2017023095579303838039	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/My%20Web%20Sites/alision/securepubads.g.doubleclick.net/tag/js/f.txt	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:53	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2004%20Aug%202025%2019:56:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/alision/www.googletagmanager.com/gtm.75445.delayed	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:54	23002/23002	---M--	200	added ('OK')	text/javascript	date:Wed,%2025%20Aug%202021%2016:17:55%20GMT	https://www.gstatic.com/firebasejs/9.0.0/firebase-app-compat.js	C:/My%20Web%20Sites/alision/www.gstatic.com/firebasejs/9.0.0/firebase-app-compat.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:55	7889/7889	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/js/lazysizes.min.js?v=2.1	C:/My%20Web%20Sites/alision/cdn01.alison-static.net/public/html/vendor/js/lazysizes.minf195.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:56:55	38306/38306	---M--	200	added ('OK')	text/javascript	date:Wed,%2025%20Aug%202021%2016:17:58%20GMT	https://www.gstatic.com/firebasejs/9.0.0/firebase-messaging-compat.js	C:/My%20Web%20Sites/alision/www.gstatic.com/firebasejs/9.0.0/firebase-messaging-compat.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:02	161544/161544	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Aug%202025%2019:56:59%20GMT	https://alison.com/certification/check/$2y$10$YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG	C:/My%20Web%20Sites/alision/alison.com/certification/check/$2y$10$YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA-2.html	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:06	190503/190503	---M--	200	added ('OK')	text/javascript	etag:7744547727945876533	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/alision/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Aug%202025%2019:57:00%20GMT	https://alison.com/html/vendor/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/alision/alison.com/html/vendor/img/favicon/favicon-16x16.png	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:07	543/543	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/alision/cdn01.alison-static.net/public/html/vendor/img/favicon/favicon-16x16.png	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:07	1611/1611	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/alision/cdn01.alison-static.net/public/html/vendor/img/favicon/apple-touch-icon.png	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:08	920/920	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/alision/cdn01.alison-static.net/public/html/vendor/img/favicon/favicon-32x32.png	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:08	6097/6097	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268807546-17d1%22	https://web-sdk.smartlook.com/recorder.js	C:/My%20Web%20Sites/alision/web-sdk.smartlook.com/recorder.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Aug%202025%2019:57:11%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/alision/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.12.delayed	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:09	24529/24529	---M-Z	200	added ('OK')	application/x-javascript	etag:%2226976105ff3f23b03636d5fb239b9eab%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/My%20Web%20Sites/alision/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:10	15084/15084	---M-Z	200	added ('OK')	text/css	etag:%223aec-639a68eb75d80-gzip%22	https://alison.com/html/site/css/iconfont.css	C:/My%20Web%20Sites/alision/alison.com/html/site/css/iconfont.css	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
20:57:10	31036/31036	---M-Z	200	added ('OK')	text/css	etag:%22793c-639e3c0f67280-gzip%22	https://alison.com/html/site/css/two-column-template.css	C:/My%20Web%20Sites/alision/alison.com/html/site/css/two-column-template.css	(from https://alison.com/certification/check/%242y%2410%24YM8OGK8O0N0Wg1EsdEMtruwoAh1hsFgxdWkrhzfiaPOYuA.FAviG)
